No,X,A,rho,V,T,p,Ma,mdot,U1,U2,U3
1,0.000,5.950,1.000,0.098,1.000,1.000,0.098,0.585,5.950,0.585,14.915
2,0.100,5.312,0.999,0.110,1.000,0.998,0.110,0.585,5.305,0.585,13.302
3,0.200,4.718,0.997,0.124,0.999,0.996,0.124,0.585,4.704,0.585,11.798
4,0.300,4.168,0.995,0.141,0.998,0.993,0.141,0.585,4.147,0.585,10.403
5,0.400,3.662,0.992,0.161,0.997,0.989,0.161,0.585,3.632,0.585,9.117
6,0.500,3.200,0.988,0.185,0.995,0.983,0.186,0.585,3.161,0.585,7.938
7,0.600,2.782,0.982,0.214,0.993,0.975,0.215,0.585,2.732,0.585,6.867
8,0.700,2.408,0.974,0.250,0.989,0.964,0.251,0.585,2.345,0.585,5.903
9,0.800,2.078,0.962,0.293,0.985,0.948,0.295,0.585,2.000,0.585,5.043
10,0.900,1.792,0.946,0.345,0.978,0.925,0.349,0.585,1.695,0.585,4.287
11,1.000,1.550,0.923,0.409,0.968,0.894,0.416,0.585,1.430,0.585,3.631
12,1.100,1.352,0.891,0.486,0.955,0.850,0.498,0.586,1.204,0.586,3.073
13,1.200,1.198,0.846,0.577,0.935,0.792,0.597,0.586,1.014,0.586,2.607
14,1.300,1.088,0.789,0.682,0.909,0.717,0.716,0.585,0.858,0.585,2.229
15,1.400,1.022,0.717,0.799,0.874,0.627,0.854,0.585,0.733,0.585,1.930
16,1.500,1.000,0.650,0.901,0.840,0.546,0.983,0.585,0.650,0.585,1.733
17,1.600,1.022,0.547,1.046,0.783,0.429,1.182,0.585,0.559,0.585,1.524
18,1.700,1.088,0.462,1.164,0.731,0.338,1.361,0.585,0.503,0.585,1.395
19,1.800,1.198,0.384,1.272,0.678,0.260,1.545,0.585,0.460,0.585,1.300
20,1.900,1.352,0.316,1.369,0.627,0.198,1.728,0.585,0.427,0.585,1.231
21,2.000,1.550,0.260,1.453,0.580,0.151,1.908,0.585,0.403,0.585,1.178
22,2.100,1.792,0.214,1.526,0.537,0.115,2.083,0.585,0.383,0.585,1.139
23,2.200,2.078,0.177,1.588,0.498,0.088,2.251,0.585,0.368,0.585,1.109
24,2.300,2.408,0.148,1.642,0.463,0.069,2.412,0.585,0.356,0.585,1.085
25,2.400,2.782,0.125,1.688,0.432,0.054,2.567,0.585,0.347,0.585,1.066
26,2.500,3.200,0.106,1.728,0.405,0.043,2.715,0.585,0.339,0.585,1.050
27,2.600,3.662,0.091,1.763,0.381,0.034,2.857,0.585,0.332,0.585,1.038
28,2.700,4.168,0.078,1.793,0.359,0.028,2.991,0.585,0.326,0.585,1.027
29,2.800,4.718,0.068,1.820,0.339,0.023,3.124,0.585,0.321,0.585,1.018
30,2.900,5.312,0.060,1.843,0.323,0.019,3.243,0.585,0.318,0.585,1.011
31,3.000,5.950,0.053,1.866,0.305,0.016,3.376,0.585,0.314,0.585,1.004
