No	X	A	rho	V	T	p	Ma	mdot	U1	U2	U3
1	0.000	5.950	1.000	0.099	1.000	1.000	0.099	0.589	5.950	0.589	14.916
2	0.100	5.312	1.000	0.111	1.000	1.000	0.111	0.588	5.312	0.588	13.326
3	0.200	4.718	1.000	0.125	1.000	1.000	0.125	0.588	4.718	0.588	11.846
4	0.300	4.168	1.000	0.141	1.000	1.000	0.141	0.588	4.168	0.588	10.478
5	0.400	3.662	1.000	0.160	1.000	1.000	0.160	0.587	3.662	0.587	9.221
6	0.500	3.200	0.999	0.187	1.000	0.999	0.187	0.597	3.197	0.597	8.069
7	0.600	2.782	0.964	0.227	0.983	0.948	0.229	0.609	2.681	0.609	6.688
8	0.700	2.408	0.927	0.271	0.967	0.896	0.275	0.604	2.232	0.604	5.510
9	0.800	2.078	0.890	0.324	0.950	0.846	0.332	0.599	1.850	0.599	4.531
10	0.900	1.792	0.854	0.389	0.933	0.797	0.402	0.595	1.530	0.595	3.732
11	1.000	1.550	0.817	0.466	0.917	0.749	0.487	0.591	1.267	0.591	3.096
12	1.100	1.352	0.781	0.557	0.900	0.702	0.587	0.587	1.055	0.587	2.603
13	1.200	1.198	0.744	0.656	0.883	0.657	0.699	0.585	0.891	0.585	2.236
14	1.300	1.088	0.707	0.760	0.866	0.612	0.816	0.584	0.769	0.584	1.976
15	1.400	1.022	0.670	0.855	0.849	0.569	0.928	0.586	0.685	0.586	1.805
16	1.500	1.000	0.633	0.929	0.833	0.528	1.018	0.589	0.633	0.589	1.702
17	1.600	1.022	0.564	1.028	0.786	0.443	1.160	0.592	0.576	0.592	1.558
18	1.700	1.088	0.493	1.106	0.737	0.363	1.289	0.594	0.537	0.594	1.449
19	1.800	1.198	0.423	1.172	0.687	0.291	1.415	0.595	0.507	0.595	1.359
20	1.900	1.352	0.354	1.239	0.637	0.226	1.552	0.593	0.479	0.593	1.277
21	2.000	1.550	0.303	1.263	0.629	0.191	1.593	0.594	0.470	0.594	1.265
22	2.100	1.792	0.580	0.570	0.931	0.540	0.591	0.593	1.040	0.593	2.657
23	2.200	2.078	0.579	0.501	0.934	0.541	0.518	0.603	1.203	0.603	3.020
24	2.300	2.408	0.569	0.441	0.927	0.527	0.457	0.603	1.370	0.603	3.361
25	2.400	2.782	0.559	0.388	0.921	0.514	0.404	0.603	1.554	0.603	3.741
26	2.500	3.200	0.548	0.344	0.915	0.502	0.359	0.603	1.755	0.603	4.157
27	2.600	3.662	0.538	0.306	0.909	0.489	0.321	0.603	1.970	0.603	4.604
28	2.700	4.168	0.528	0.274	0.902	0.476	0.289	0.603	2.200	0.603	5.078
29	2.800	4.718	0.518	0.247	0.896	0.464	0.261	0.603	2.442	0.603	5.575
30	2.900	5.312	0.472	0.226	0.890	0.420	0.239	0.565	2.506	0.565	5.666
31	3.000	5.950	0.432	0.205	0.884	0.382	0.218	0.527	2.569	0.527	5.757
